handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
strule.bsky.social,3,598,984,2023-07-01T19:09:42.927Z,False,False,False
raven70.bsky.social,2,190,376,2023-12-18T01:10:06.065Z,False,False,False
vilarminocorrochio.bsky.social,1,23,39,2025-09-07T09:32:20.397Z,True,False,False
extravaganza.bsky.social,1,425,434,2023-08-09T22:48:35.931Z,False,False,False
abeiro.bsky.social,1,119,122,2024-11-29T08:28:34.147Z,False,False,False
camillezazyx.bsky.social,3,277,550,2024-09-06T01:52:27.930Z,False,False,False
cascadeovo.bsky.social,1,62,95,2024-10-25T20:04:03.805Z,False,False,False
luiswong1997.bsky.social,1,430,381,2024-08-31T04:10:49.804Z,False,False,False
altmelissa.bsky.social,1,376,296,2023-04-12T07:26:01.949Z,False,False,False
liscotrim.bsky.social,1,266,127,2024-08-30T20:51:13.341Z,False,False,False
sorriapracamera.bsky.social,4,1185,898,2023-10-08T22:12:40.435Z,False,False,False
azerdna66.bsky.social,2,445,270,2023-08-21T15:18:11.175Z,False,False,False
ilustrenatan.bsky.social,1,813,539,2024-04-08T17:07:28.148Z,False,False,False
lcadastro.bsky.social,4,830,1635,2024-09-04T02:17:56.700Z,False,False,False
sergioigres.bsky.social,1,219,184,2024-09-01T14:19:59.509Z,False,False,False
tacamolotov.bsky.social,3,272,269,2023-06-01T21:47:16.379Z,False,False,False
claraale22195.bsky.social,1,30,170,2025-06-03T15:18:12.743Z,False,False,False
alanvictor.bsky.social,1,121,95,2023-06-28T19:40:07.059Z,False,False,False
namoradadaticinha.bsky.social,1,675,562,2023-07-15T04:45:51.294Z,False,False,False
izique.bsky.social,2,1361,832,2023-06-25T01:57:44.058Z,False,False,False
bandalha.bsky.social,1,22,29,2025-03-02T23:13:29.746Z,False,False,False
judemotta.bsky.social,1,3127,749,2023-05-16T18:37:16.931Z,False,False,False
carolbnt.bsky.social,18,2399,3257,2024-09-01T21:12:37.902Z,False,False,True
jupterfrost.bsky.social,1,250,131,2024-09-04T10:41:18.930Z,False,False,False
artemimisia.bsky.social,2,2387,666,2023-07-01T18:42:10.754Z,False,False,False
brunobarretojor.bsky.social,2,326,16,2024-09-02T18:28:09.805Z,False,False,False
maceiobrasil.com.br,2,16,2,2024-04-09T16:55:05.614Z,False,False,False
