index,clean_text
175,hoje freelance damos sequência reportagem sobre mulher indígena relatou ter sido estuprada policiais militares santo antônio içá amazonas sumauma silencio ver
176,trump quer minerais críticos brasil lula reage aqui ninguém põe mão revistaforum br global 2025 encarregado negócios embaixada eua relatou interesse governo norte americano metais estratégicos brasileiros
177,primeiro destino argentina seguida peru colômbia país segundo mesma relatou abandonou governado esquerda jornada prosseguiu panamá méxico el paso texas onde detida dia 21 janeiro deste ano risos
178,primeiro destino argentina seguida peru colômbia país segundo mesma relatou abandonou governado esquerda jornada prosseguiu panamá méxico el paso texas onde detida dia 21 janeiro deste ano hehehehehehe
179,slogan in fux we trust traduzido português fux confiamos resposta moro dallagnol relatou conversou fux sobre farça tarefa lava jato entenderam fux vota contra discorda tornozeleira bolsonaro noticias uol br politica ult
180,veem moradores rua sacolas colchão cobertores volumosos vêm logo tomam tudo dias sentada aqui sacolas esperando quentinha vieram botando mão pra tirar
181,jornalista basília rodrigues perfil social publicou ministro stf reagiu ironia suspensão visto eua falando agora ministro stf proibido ir eua disse tranquilo mickey precisará superar ausência relatou repórter
182,comeback durante comemoração aniversário grupo monstax relatou gravação novo álbum concluída lançada setembro
183,rindo pensando q ontem falei chefe aqui cantinho escondendo fulana relatou multiplas vezes tambem escondeu fulana legitimando ação
184,pais presos 2024 reportagem pública relatou vida filhos filhas cujos pais presos ausência figura entorno familiar muitas vezes leva queda rendimento escolar desenvolvimento problemas saúde mental crianças
185,baptista junior diz resistiu golpe sofreu ataques mudar postura legalista vqv uvj ex comandante fab relatou stf sofreu pressão após recusar apoiar tentativa golpe estado assim rj sp hoje país chefão governo táticas milicianas
186,pgr diz ex comandante exército fez alerta contundente bolsonaro sobre responsabilização criminal levasse adiante minuta golpista gonet afirmou freire gomes adotou tom polido linguagem cordial assim relatou aviso ex presidente globo
187,x elon musk sendo investigado frança interferir política país deputado francês éric bothorel relatou desde compra plataforma bilionário mudança algoritmos propiciou aumento extremismo supressão vozes progressistas
188,motta reunião haddad tranquila inconclusiva sobre iof hugo motta relatou reunião ministro fernando haddad tentar encontrar saída impasse iof www metropoles colunas igor
189,agência defesa civil gaza relatou 29 mortos ataques israelenses todo território incluindo três crianças enquanto cinco militares israelenses mortos 14 ficaram feridos noite segunda feira the guardian
190,realmente situação vc relatou insustentável médio longo prazo bajo16621
191,jornalista americano exalta sus após acidente eua impensável terrence mccoy chefe sucursal the washington post rio janeiro relatou artigo espanto após tratado pagar centavo resistencia2558dias siga bluesky dilmaresiste
192,terrence mccoy chefe sucursal the washington post rio janeiro relatou artigo espanto após tratado pagar centavo
193,repressão governo china contra mulheres escrevem literatura erótica gay menos 30 mulheres presas todo país desde fevereiro conforme relatou advogados defesa bbc
194,crazy lore drop keeho p1harmony fez audição filme guerreiras k pop netflix relatou live pediram fizesse audição onde cantou almost is never enough ariana grande leu algumas linhas roteiro keeho p1harmony guerreirasdokpop
195,gringo falando mudou pra australia vez viver país armas bom eua sempre analisava rota fuga público relatou diversas vezes presença armas onde feliz finalmente encontrou liberdade hein
196,desde outubro 2023 genocídio israelense gaza impacto devastador esporte palestino acordo susan shalabi vice presidente associação palestina futebol relatou ataques israelenses resultaram morte 437 jogadores futebol 1 2
197,george r r martin resistindo dividir ventos inverno 2 volumes ajudaria publicar rápido primeira vez acontece 2000 entrevista amazon relatou editora pressionou dividir tormenta espadas
198,sexta aluno personal conta q assistiu video lembrou dum amigo q relatou mesma experiencia algum tempo mandou link pro amigo q mandou pra alguns dia seguinte ja sabia 10 pacientes odontarado mundo gay youtu be wny8yoapbk
199,brasileira agredida fala humilhação ódio portugal gabriela johann relatou redes sociais alvo agressão cabeça andava ruas movimentadas porto leia curt link ceiey
200,juliana marins babu santana relembra época trabalharam juntos revistaforum br global 2025 ator relatou convivência jovem brasileira lamentou morte juliana indonésia
201,enquanto folha sp acha burro ir país guerra diz prefeito bh país guerra
202,jornal haaretz relatou mísseis iranianos atingiram territórios ocupados exército israelense separou jornalistas estrangeiros jornalistas israelenses pudessem cobrir local ataques mísseis farsna
203,preparando prisão domiciliar jair bolsonaro cancelou compromissos goiás voltou brasília após mal médico claudio birolini responsável última cirurgia fará exames nele bolsonaro goiânia eventos relatou
204,site diário israelense negócios economia calcalist relatou instituto ciências weizmann sul tel aviv sofreu danos estimados us 572 milhões devido ataque mísseis irã
205,ativista bruno gilga relatou repressão enfrentada participantes marcha global gaza reuniu 10 mil pessoas 50 países egito ação objetivo cruzar península sinai rumo fronteira rafah denunciar genocídio palestino
206,pergunta quer calar lavajatistas crime compensa cnj relatou fatos caracterizam crimes peculato corrupção lavagem dinheiro recursos recebidos nome petrobras outra investigação aberto denúncias tony garcia ex agente infiltrado moro
207,outra controvérsia utilizados mísseis hipersônicos sim menos haj qasem parte irã manobrável palestine 2 houthis tass usando fars fonte relatou uso hipersônicos médio alcance emad ghadr and kheibar shekan
208,urgente simultaneamente ataque iraniano iêmen ataca tel aviv simultaneamente chegada dezenas mísseis iranianos tel aviv mídia israelense relatou lançamento míssil iemenita contra palestina central ocupada
209,info nova entrevista jhope relatou bts preparando fazer retorno novo álbum nova turnê mundial rápido possível
210,vishwash kumar ramesh britânico 40 anos relatou jornal hindustan times ter escapado vida desastre aéreo deixou menos 240 mortos índia diz avião caiu após estrondo acordei havia corpos todos lados fiquei pânico levantei saí correndo
211,youtube segue colegas guinada extrema direita afrouxando moderação plataforma mantendo conteúdos danosos ar new york times acesso informações dentro empresa relatou mudanças sendo tratadas apenas internamente
212,info durante entrevista buzzfeed jin relatou adoraria fazer colaboração bruno mars b fã ainda conheceu j conheci passagem adoraria colaborar bruno mars dia divertido fã
213,ex ajudante ordens bolsonaro mauro cid confirmou ex presidente editou minuta golpista relatou entrega dinheiro vivo braga netto caixa vinho deputado alexandre ramagem negou uso ilegal abin disse ter provas fraude eleições
214,mauro cid confirma bolsonaro leu editou minuta golpista www brasil247 brasil mauro militar relatou stf ex mandatário fez alterações texto elaborado aliados moraes único ficaria preso disse
215,mauro cid acaba expor capítulo trama golpista relatou general mario fernandes inflamando militares especialmente grupos whatsapp falas radicais insistindo medidas violentas semanistia
216,mauro cid confirma bolsonaro leu editou minuta golpista www brasil247 brasil mauro militar relatou stf ex mandatário fez alterações texto elaborado aliados moraes único ficaria preso disse capiroto inelegível vai condenado
217,tempo bom né bolsonarista corrupção roubo joias desvio dinheiro vacinas educação inflação desmonte cultura meio ambiente dólar quase 6 00 combustíveis caros hoje nenhum representante gado relatou 3 coisas boas dessa desgraça
218,recebemos outra ameaça entidade sionista disseram insistirmos vão atacar fizeram 15 anos mavi marmara mataram 10 participantes responsabilizados relatou bsky social redes sociais
219,pergunta quer calar deputada antivacina acabou ter baby relatou alguma intercorrencia filhote anda saindo rua bebê rua taokey bebê reborn acaso aposto tomou vacinas gestação sendo imunizado preconizado oms
220,importante falso tentativa uso bricka inutiliza console usuário relatou após teste conseguiu jogar mario kart world online tranquilamente
221,amigo q postou acho q citou entrevistas livro cara q relatou esconder banheiro alguns minutos eventos sociais fazia mto sentia total freak inadequada ler livro alguns relatos lá ajudou enteder maluca maluca sozinha menos
222,mãe menina relatou filha vem sofrendo injúria racial sendo chamada macaca preta debocham sobre cabelo dizendo ruim cortar liberdade expressão defendida extrema direita 2 2
223,gente stay chinês relatou avião sentado lado fã coreano felix havia comprado 10 celulares samsung galaxy s25 edge apoiá lo percebeu dois fãs stray kids stay coreano deu celulares graça
224,risos
225,avó morreu saber aconteceu filho mãe morreu irmão gabriel morreu 45 anos tios morreram saber relatou mulher pai sequestrado ditadura 1977 crime reconhecido tal 2023
226,drauzio varella relata dor cabeça vem sofrendo quadrilhas golpistas usam imagem impulsionar anúncios redes sociais sabe razão plataforma age dessa forma porque trabalha conluio quadrilhas relatou renomado médico
227,homem ataca ex tesoura corta cabelo ficar bonita pra v1tima relatou polícia civil goiana cr1minoso trabalho começou bater cabeça tesoura leia coluna mira curt link bdqeq
228,cachorro relatou reportagem sentiu cheiro maconha vindo salsicha
229,após quadro labirintite lula deve passar nova avaliação médica nesta terça presidente cancelou reuniões tarde desta segunda após vertigem hospital sírio libanês relatou exames dentro normalidade dezembro lula passou cirurgia cabeça após acidente doméstico g1
230,roubaram fé inocência dignidade relatou shaum dougherty sobrevivente abuso sexual clerical infância membro snap survivors network of those abused by priests
231,gnt viu vivo agência internacional relatou q ano passado piores queimadas registradas vassoura bruxa mandioca agora chegou pará pontinha norte pará maior produtor dessa raiz país
232,vereadora sobre ataques transfóbicos durante votação honraria genocida thabatta pimenta psol mulher trans mãe jovem pcd relatou ter sido atacada frases ofensivas mulher verdade dois sexos resistencia2516dias siga bluesky dilmaresiste
233,bruno deitos relatou policia trabalhou terceirizada conafer recebeu quis contar recebeu ameaças thiago lopes vice presidente conafer maluco fazer denúncia tiago lopes pecuarista envolvido mineração ilegal fraudava assinaturas
234,thabatta pimenta psol mulher trans mãe jovem pcd relatou ter sido atacada frases ofensivas mulher verdade dois sexos
235,ar posts mentem dizer freire gomes confirmou existência minuta golpista depoimento stf segunda 19 ex comandante exército relatou bolsonaro apresentou estudo supostas opções ruptura institucional www aosfatos org noticias fre
236,comando aeronáutica rejeitou fraude denunciou pressões bolsonaro carlos baptista júnior afirmou stf condição testemunha eleições legítimas relatou tentativa uso político forças armadas
237,carlos baptista junior relatou stf hipótese golpista discutida comandantes forças armadas então presidente www brasil247 brasil ex co
238,ex diretor inteligência prf adiel alcântara confirmou uso corporação fins políticos relatou ter recebido ordens específicas monitorar ônibus vindos estados sudeste destino nordeste segundo turno medida dificultar acesso eleitores lula urnas
239,achei pecado grave demais dor fazia parte castigo honrar pai mãe mandava rezar entendi punição abuso relatou vítimas padre bernardino
