handle,text,is_recent_account,is_following_ratio_high,has_duplicate_posts
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 01/09/2025

N° de infectados: 39.317.246
N° de mortos: 716.628

Foram 306 casos e 4 mortes em 24h

Doses aplicadas da vacina: 500.523.911",False,False,True
contagemcorona1.bsky.social,"🟣A vacina contra o HPV é muito importante e pode prevenir alguns tipos de câncer.

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"Vacina SIM 
Atenção Rio de Janeiro ⬇️",False,False,True
contagemcorona1.bsky.social,"Vacinas contra sarampo e meningite também são fundamentais. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 31/08/2025

N° de infectados: 39.316.940
N° de mortos: 716.624

Foram 300 casos e 2 mortes em 24h

Doses aplicadas da vacina: 500.523.555",False,False,True
contagemcorona1.bsky.social,"🟢Vacina contra o HPV é essencial. 

www.correiobraziliense.com.br/opiniao/2025...",False,False,True
contagemcorona1.bsky.social,"🟡Uma dose da vacina contra o VSR é eficaz para proteger idosos contra hospitalizações por 2 anos.

oglobo.globo.com/saude/notici...",False,False,True
contagemcorona1.bsky.social,"Vacinem as crianças contra a poliomielite. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"🔴Fiocruz comprova eficácia da vacina da dengue em adolescentes.

agenciabrasil.ebc.com.br/radioagencia...",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 30/08/2025

N° de infectados: 39.316.640
N° de mortos: 716.622

Foram 400 casos e 6 mortes em 24h

Doses aplicadas da vacina: 500.523.555",False,False,True
contagemcorona1.bsky.social,"🟣Vacina contra dependência de cocaína e crack avança na UFMG; nova etapa inclui testes em humanos.

cbn.globo.com/ciencia/noti...",False,False,True
contagemcorona1.bsky.social,"🟣Vacina contra HPV é chave para eliminar câncer de colo de útero.

Brasil ainda está distante das metas da OMS, mas vacinação e novo teste no SUS representam avanços.

www.correiobraziliense.com.br/ciencia-e-sa...",False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"🔴 Saiba quem deve procurar a vacina contra o herpes zóster, capaz de prevenir infarto e AVC.

noticias.r7.com/record-news/...",False,False,True
contagemcorona1.bsky.social,"🟠 Vacina contra HPV é chave para eliminar câncer de colo de útero.

www.correiobraziliense.com.br/ciencia-e-sa...",False,False,True
contagemcorona1.bsky.social,"Criança sem vacina é criança desprotegida. 

Vacinem as crianças!",False,False,True
